id,order_id,user_id,product_id,inventory_item_id,status,created_at,shipped_at,delivered_at,returned_at,sale_price
152013,104663,83582,14235,410368,Cancelled,2023-05-07 06:08:40+00:00,,,,0.0199999995529651
40993,28204,22551,14235,110590,Complete,2023-03-14 03:47:21+00:00,2023-03-15 22:57:00+00:00,2023-03-18 01:08:00+00:00,,0.0199999995529651
51224,35223,28215,14235,138236,Complete,2023-12-05 13:25:30+00:00,2023-12-06 01:20:00+00:00,2023-12-10 10:04:00+00:00,,0.0199999995529651
36717,25278,20165,14235,99072,Shipped,2023-12-22 20:48:19+00:00,2023-12-24 16:44:00+00:00,,,0.0199999995529651
131061,90241,71954,14235,353798,Shipped,2022-06-19 16:57:59+00:00,2022-06-19 19:29:00+00:00,,,0.0199999995529651
154022,106052,84693,14235,415780,Shipped,2023-09-19 09:13:08+00:00,2023-09-16 09:24:00+00:00,,,0.0199999995529651
67253,46269,37023,14159,181497,Complete,2021-10-31 01:26:46+00:00,2021-11-01 17:47:00+00:00,2021-11-02 13:29:00+00:00,,0.4900000095367431
116116,80002,63821,14159,313368,Complete,2022-04-01 13:25:52+00:00,2022-03-31 05:13:00+00:00,2022-04-02 22:18:00+00:00,,0.4900000095367431
28239,19512,15553,14159,76146,Shipped,2023-10-29 08:08:40+00:00,2023-10-29 16:59:00+00:00,,,0.4900000095367431
69641,47894,38312,14159,187914,Shipped,2024-01-07 23:06:39+00:00,2024-01-10 19:32:00+00:00,,,0.4900000095367431
132745,91372,72876,14202,358368,Cancelled,2023-03-29 07:54:55+00:00,,,,1.5
166920,114977,91839,28700,450614,Cancelled,2020-07-02 15:08:04+00:00,,,,1.5
54884,37750,30232,28700,148082,Complete,2023-02-27 02:31:30+00:00,2023-03-01 14:39:00+00:00,2023-03-03 16:51:00+00:00,,1.5
97403,67023,53552,14202,262807,Complete,2022-10-04 11:51:58+00:00,2022-10-04 17:02:00+00:00,2022-10-05 15:03:00+00:00,,1.5
116568,80301,64053,28700,314574,Complete,2022-11-02 10:31:26+00:00,2022-11-02 11:21:00+00:00,2022-11-05 04:07:00+00:00,,1.5
3141,2165,1760,28700,8464,Processing,2024-01-07 06:45:55+00:00,,,,1.5
75920,52253,41873,14202,204851,Processing,2020-07-17 04:47:25+00:00,,,,1.5
80164,55159,44189,14202,216335,Processing,2023-01-18 11:47:18+00:00,,,,1.5
142854,98355,78482,28700,385646,Returned,2023-10-13 06:08:29+00:00,2023-10-14 02:38:00+00:00,2023-10-14 20:04:00+00:00,2023-10-17 00:08:00+00:00,1.5
28951,20008,15959,28700,78056,Shipped,2021-02-27 03:16:44+00:00,2021-02-25 19:08:00+00:00,,,1.5
127343,87683,69897,14202,343765,Shipped,2023-08-08 16:19:38+00:00,2023-08-08 20:00:00+00:00,,,1.5
123936,85334,68055,13629,334545,Processing,2023-12-11 01:10:06+00:00,,,,1.5099999904632568
163019,112277,89682,13629,440084,Processing,2023-04-27 01:35:01+00:00,,,,1.5099999904632568
12417,8613,6882,13629,33494,Returned,2024-01-12 17:39:04+00:00,2024-01-13 04:11:00+00:00,2024-01-16 17:17:00+00:00,2024-01-18 13:53:00+00:00,1.5099999904632568
29454,20362,16244,13629,79396,Shipped,2023-12-01 15:45:51+00:00,2023-12-03 07:48:00+00:00,,,1.5099999904632568
70326,48347,38681,13629,189772,Shipped,2022-04-08 13:13:27+00:00,2022-04-09 11:52:00+00:00,,,1.5099999904632568
142090,97824,78066,14298,383592,Cancelled,2023-06-25 11:40:22+00:00,,,,1.7200000286102295
156224,107558,85940,14298,421725,Processing,2022-09-27 13:36:09+00:00,,,,1.7200000286102295
49378,33965,27223,14298,133187,Returned,2023-05-15 02:22:01+00:00,2023-05-14 18:35:00+00:00,2023-05-18 21:12:00+00:00,2023-05-20 07:23:00+00:00,1.7200000286102295
81338,55968,44832,14298,219506,Shipped,2023-02-26 12:26:52+00:00,2023-02-26 17:00:00+00:00,,,1.7200000286102295
181002,124695,99579,12536,488701,Cancelled,2022-11-19 17:26:48+00:00,,,,1.75
35882,24703,19697,12536,96821,Complete,2023-11-23 04:34:36+00:00,2023-11-23 09:20:00+00:00,2023-11-24 03:24:00+00:00,,1.75
112748,77696,62002,12536,304194,Complete,2024-01-17 03:54:46.754527+00:00,2024-01-15 10:04:24.754527+00:00,2024-01-19 05:05:24.754527+00:00,,1.75
117438,80895,64513,12536,316927,Processing,2023-11-04 05:25:47+00:00,,,,1.75
166143,114444,91424,12536,448518,Processing,2021-11-19 13:59:16+00:00,,,,1.75
31487,21731,17324,13659,84875,Cancelled,2020-12-25 12:05:04+00:00,,,,1.8200000524520876
104924,72282,57732,13659,283091,Complete,2023-04-18 01:05:54+00:00,2023-04-14 04:16:00+00:00,2023-04-14 13:04:00+00:00,,1.8200000524520876
122182,84145,67100,15332,329813,Complete,2023-10-08 12:48:46+00:00,2023-10-04 17:41:00+00:00,2023-10-07 21:58:00+00:00,,1.8200000524520876
142870,98364,78491,15332,385686,Complete,2023-06-26 12:26:41+00:00,2023-06-27 13:23:00+00:00,2023-06-29 11:24:00+00:00,,1.8200000524520876
145938,100484,80219,13659,394011,Complete,2023-11-07 14:27:25+00:00,2023-11-10 11:08:00+00:00,2023-11-11 05:10:00+00:00,,1.8200000524520876
105331,72555,57930,15332,284202,Processing,2023-11-16 12:24:48+00:00,,,,1.8200000524520876
117019,80598,64267,15332,315795,Processing,2021-06-20 07:17:24+00:00,,,,1.8200000524520876
152653,105117,83953,15332,412095,Processing,2022-11-12 16:31:57+00:00,,,,1.8200000524520876
81594,56136,44961,13659,220214,Shipped,2023-10-08 14:03:37+00:00,2023-10-10 02:28:00+00:00,,,1.8200000524520876
102820,70796,56552,15332,277378,Shipped,2024-01-19 15:33:14.154062+00:00,2024-01-17 21:39:25.154062+00:00,,,1.8200000524520876
1069,731,582,9204,2932,Cancelled,2024-01-13 06:10:54+00:00,,,,1.950000047683716
61156,42147,33685,9204,165031,Cancelled,2019-03-28 15:22:27+00:00,,,,1.950000047683716
113652,78311,62477,9043,306681,Cancelled,2023-12-18 14:25:23+00:00,,,,1.950000047683716
142358,98008,78211,9043,384301,Cancelled,2023-11-22 02:57:31+00:00,,,,1.950000047683716
161295,111090,88725,3049,435403,Cancelled,2023-11-14 13:44:57+00:00,,,,1.950000047683716
84206,57925,46323,9204,227254,Complete,2022-08-14 06:54:15+00:00,2022-08-15 19:56:00+00:00,2022-08-19 08:36:00+00:00,,1.950000047683716
106062,73063,58346,9204,286200,Complete,2022-06-30 23:36:20+00:00,2022-06-29 16:39:00+00:00,2022-07-01 12:46:00+00:00,,1.950000047683716
